Total_Assets,Total_Liabilities,Revenue,Operating_Expenses,Net_Income,Cash_Flow_Operating,Cash_Flow_Investing,Cash_Flow_Financing,Current_Ratio,Debt_to_Equity,Gross_Margin,Return_on_Assets,Return_on_Equity,Financial_Status
-0.248887064,0.17266065,0.455813196,0.316468574,-1.063207012,0.430493591,0.38423621,0.506206488,-0.963330806,0.840325815,-0.383690169,0.164459237,0.376508878,Normal
0.88956762,0.643669983,0.38906488,-0.798998818,-1.071655733,-0.663767586,-0.064779101,-0.462247396,-1.001281407,0.907913792,-0.786195952,0.753567124,-0.179614468,High Risk
0.457401048,0.552324987,-0.807953396,-0.483753205,-0.092340415,-0.338534777,-0.913264019,0.322579947,-0.562012719,-0.993412247,-0.723991285,0.512168215,-0.447839879,Normal
0.193945344,-0.670939845,0.865196743,0.548338334,-1.011553079,0.296656026,0.864204832,0.412764479,0.604984307,-0.364869503,-0.616879725,0.71447883,0.232785073,Normal
-0.680660659,-0.68032312,0.148639223,0.072463802,0.949925124,-0.066818898,0.99155868,-0.296008707,0.818974436,0.681083136,-0.571555224,-0.849694013,0.485166586,Normal
-0.680708318,-0.440366007,-0.265686363,0.848030154,-0.611530338,0.447690729,-0.140029833,-0.036183198,-0.222246568,0.076125097,-0.495413279,-0.348869683,-0.500090223,Normal
-0.87416914,-0.25291912,0.529210538,-0.121648526,-0.091507737,0.894306654,0.236181921,-0.178610034,0.125714373,0.621037606,-0.469384327,-0.347736192,-0.409178778,Normal
0.722529827,-0.157317834,-0.480916691,0.735066785,-0.94547331,-0.800107941,-0.100361998,0.90949379,0.415672648,0.713137496,-0.07444758,0.307242226,0.282357339,Normal
0.198799163,0.389971765,0.401665505,-0.082404288,0.010969034,0.389509233,-0.364919099,-0.346391437,0.916786263,-0.11247696,0.031766534,-0.096257023,0.941507591,Normal
0.410135153,-0.867101493,-0.921362048,0.947634732,-0.283888643,-0.57182696,-0.868741152,-0.619879343,0.835587106,-0.280623043,-0.364033359,0.540377678,-0.582681246,Normal
-0.948263133,-0.91150692,0.696905248,0.909925243,-0.979666208,-0.202451745,-0.088477014,-0.255024544,-0.901353169,-0.086731262,0.816138887,-0.220511638,0.310663792,Normal
0.927495836,-0.190701044,-0.094802718,-0.315139788,-0.376919852,-0.967980367,0.657935182,0.353346757,-0.513724148,0.310020706,0.117686543,-0.535720347,0.822564092,Normal
0.655876256,0.425214217,0.286690724,0.766361329,-0.260066554,-0.761269833,-0.992939634,0.409088879,-0.917688129,-0.264186595,0.579836127,-0.401478417,-0.079396345,Normal
-0.569377814,-0.591168412,-0.554024616,0.691943654,0.981858921,-0.392421532,0.171179042,0.86287015,0.233989134,0.555662536,0.84955,-0.611487237,-0.373791295,Normal
-0.629670292,0.312909529,0.368405347,-0.54522892,-0.640954004,-0.347870612,0.786460347,0.778191335,0.424686199,0.814997198,-0.651463484,-0.581629947,0.336271627,High Risk
-0.626549295,-0.457206359,0.560984499,0.258165751,0.05813886,0.770689783,-0.579850738,-0.409702815,-0.391700361,-0.434754395,-0.129356082,-0.54495199,-0.952777688,Normal
-0.387787673,0.806406705,-0.044127014,-0.813275927,0.976451295,0.454194014,-0.650499225,-0.075728838,0.71566866,0.937617704,-0.118832818,-0.933572304,-0.285919989,Normal
0.047923291,0.825784553,0.248311127,0.670770261,0.571189157,0.916322953,0.562947814,0.508987777,-0.098341575,0.249571795,-0.274116755,0.421543411,-0.493215126,Normal
-0.135461508,-0.381624462,-0.078300096,-0.615416477,0.989009783,0.167850678,-0.50252042,0.847817076,1.009027992,0.763083785,-0.95562766,-0.191140627,-0.560873505,Normal
-0.413500085,-0.517403784,0.807562492,-0.816903574,0.936988368,-0.549019264,-0.632517763,-0.311929364,-1.016628113,-0.793377116,0.636033074,-0.920840638,-0.651881255,Anomaly
0.220015999,-0.15157058,0.005766879,-0.177069594,-0.05649058,-0.376618558,-0.249327202,-0.097191009,-0.79520238,-0.49669515,-0.753179007,-0.248433138,0.478663292,Normal
-0.713311745,-0.496141394,0.701763249,0.166157799,0.372718302,-0.39230391,-0.219429329,0.813669556,-0.404873799,-0.356940878,0.990051865,0.787970374,0.920971174,Normal
-0.411691145,0.375215427,0.61989513,0.706133996,-0.843158792,-0.37894696,0.772717265,-0.269254777,-0.965665279,-0.393521726,0.551203502,0.024986855,-0.235996058,High Risk
